CalfID,Pen,Block,Season_x,Phenotype,Growth,Milk,MBW,ADG,ODMI,PDMI,RFI,GF,PADG,RADG,DamID,Sire,Genotype,Sex,Day,Timepoint,Season_y,Year,Weight (kg),ConA Proliferation Index,LPS Proliferation Index,PWM Proliferation Index,Plasma Cortisol (ng/ml),IgG1 (ng/ml),IgG2 (ng/ml),IgM (ng/ml),IgG1 to IgG2,Total IgG (ng/ml),WBC,NEU,LYM,NLR,MONO,EOS,BAS,NEU%,LYM%,MONO%,EOS%,BAS%,RBC,HGB,HCT,MCV,MCH,MCHC,RDW%,PLT,MPV,IFNy,IL1a,IL1B,IL4,IL6,IL10,IL17A,MIP1alpha,IL36R,IP10,MCP1,MIP1b,TNFa,VEGFa,BHV1,BHV1_Log,BVDV1,BVDV1_Log,BRSV,BRSV_Log
2534,3,2304,Fall,HH,H,H,95.54886447,1.766233766,11.76338028,14.2906581,-2.527277814,0.150146788,1.137651183,0.628582583,6211,Peyton,HH,S,Brand,1,Fall,2022,153,.,.,.,11.65,.,.,.,.,.,13.2,2.12,10.51,0.20171265461465274,0.36,0.1,0.11,16,79.6,2.8,0.8,0.8,12.42,14.6,42,33.8,11.8,34.8,21.4,333,5.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2534,3,2304,Fall,HH,H,H,95.54886447,1.766233766,11.76338028,14.2906581,-2.527277814,0.150146788,1.137651183,0.628582583,6211,Peyton,HH,S,Wean,2,Fall,2022,213.75,.,.,.,23.5,.,.,.,.,.,19.06,3.02,14.62,0.20656634746922026,1.08,0.29,0.05,15.9,76.7,5.7,1.5,0.2,10.76,14,40.3,37.4,13,34.9,20.6,259,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2534,3,2304,Fall,HH,H,H,95.54886447,1.766233766,11.76338028,14.2906581,-2.527277814,0.150146788,1.137651183,0.628582583,6211,Peyton,HH,S,14DPW,3,Fall,2022,236.25,.,.,.,8.406,.,.,.,.,.,20.24,6.02,13.44,0.44791666666666663,0.52,0.18,0.08,29.7,66.5,2.5,0.9,0.4,9.97,12.8,37.2,37.3,12.8,34.4,20.4,294,5.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2534,3,2304,Fall,HH,H,H,95.54886447,1.766233766,11.76338028,14.2906581,-2.527277814,0.150146788,1.137651183,0.628582583,6211,Peyton,HH,S,60DPW,4,Fall,2022,270.90000000000003,.,.,.,39.96,.,.,.,.,.,15.14,2.81,11.15,0.2520179372197309,0.44,0.7,0.04,18.6,73.7,2.9,4.6,0.2,9.56,12.8,35.3,36.9,13.3,36.1,19.8,394,5.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2534,3,2304,Fall,HH,H,H,95.54886447,1.766233766,11.76338028,14.2906581,-2.527277814,0.150146788,1.137651183,0.628582583,6211,Peyton,HH,S,28DF,5,Fall,2022,326.7,.,.,.,11.3,.,.,.,.,.,19.46,3.3,14.14,0.23338048090523336,1.66,0.33,0.03,17,72.7,8.5,1.7,0.1,9.06,12,33.9,37.4,13.2,35.4,21.4,317,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2548,4,2304,Fall,HH,H,H,101.673638,1.357142857,16.49428571,14.65835951,1.835926202,0.082279577,1.173401357,0.1837415,615,Magnitude,HH,S,Brand,1,Fall,2022,132.75,0.5449330783938815,.,.,10.040000000000001,13.103787586,4.5943185,1.4578796,2.852172217925248,17.698106086,12.33,1.23,9.94,0.12374245472837023,0.99,0.14,0.03,10,80.6,8,1.1,0.3,10.87,13.3,38.7,35.6,12.3,34.4,22.7,665,5.4,16.88,0.001,0.001,0.001,0.001,126.89,0.46,30.87,123.06,1691.23,590.06,121.91,120.88,64.05,<4,0,64,6,.,.
2548,4,2304,Fall,HH,H,H,101.673638,1.357142857,16.49428571,14.65835951,1.835926202,0.082279577,1.173401357,0.1837415,615,Magnitude,HH,S,Wean,2,Fall,2022,198,0.6692477876106195,1.7573943661971831,2.2304015296367115,17.38,14.11735317,8.736616903000002,1.947970963,1.6158832791617939,22.853970073,14.49,4.83,8.78,0.550113895216401,0.69,0.16,0.03,33.4,60.6,4.7,1.1,0.2,10.5,14,41.2,39.3,13.3,33.9,24.1,624,5.2,1.11,1.92,0.001,0.001,6.45,85.53,2.15,33.41,623.37,1218.59,827.14,58.28,172.77,124.64,<4,0,<8,0,.,.
2548,4,2304,Fall,HH,H,H,101.673638,1.357142857,16.49428571,14.65835951,1.835926202,0.082279577,1.173401357,0.1837415,615,Magnitude,HH,S,14DPW,3,Fall,2022,213.75,0.9503695881731783,1.1297898640296664,6.555240793201134,28.03,11.680798692,11.688575667,2.016418443,0.9993346516101225,23.369374359,17.88,10.96,6.43,1.704510108864697,0.27,0.19,0.03,61.3,36,1.5,1,0.2,10.22,13.2,39,38.1,12.9,33.8,22.9,736,5.4,1.65,1.23,0.001,15.12,15.04,46.09,0.46,30.44,228.42,784.91,853.05,53.44,135.09,151.58,32,5,128,7,.,.
2548,4,2304,Fall,HH,H,H,101.673638,1.357142857,16.49428571,14.65835951,1.835926202,0.082279577,1.173401357,0.1837415,615,Magnitude,HH,S,60DPW,4,Fall,2022,261.45,0.9588957055214724,3.1566037735849064,1.7482724580454096,45.32,11.275356221000001,12.222483549000001,4.232730901,0.9225094209206368,23.497839770000002,15.68,4.61,9.71,0.4747682801235839,0.82,0.5,0.04,29.4,62,5.3,3.1,0.2,8.3,12.4,33.6,40.5,14.9,36.9,22.6,592,5.7,0.001,17.6,0.001,15.12,26.78,118.98,0.001,83.16,275.46,389.79,684.66,41.78,939.22,125.13,16,4,128,7,.,.
2548,4,2304,Fall,HH,H,H,101.673638,1.357142857,16.49428571,14.65835951,1.835926202,0.082279577,1.173401357,0.1837415,615,Magnitude,HH,S,28DF,5,Fall,2022,332.55,1.4476239141543177,3.9717068645640072,2.849044585987261,0.6635,9.900225449999999,11.536994130999998,3.374241955,0.8581286717827143,21.437219580999997,16.62,5.53,9.28,0.5959051724137931,1.26,0.5,0.05,33.3,55.9,7.5,3,0.3,8.24,12.5,35.2,42.8,15.2,35.6,24.2,629,6.1,0.59,38.93,0.001,31.23,38.46,233.38,0.19,245.52,157.83,533.16,871.76,292.15,2414.77,119.13,<4,0,16,4,.,.
